group,object,title
    ИСР: NEWPROJ-3.7  АУПС,"['Монтаж оборудования', 'АС.ТТ/поз.1.6/ОВ', '    ИСР: NEWPROJ-3.7  АУПС']",2
   ГФ11.1 - газ на факел (ЭО),"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.С037 Инженерные сети ( АС1.1-1.4)', '   ГФ11.1 - газ на факел (ЭО)']",2
   Т.31 Монтаж системы бытовой канализации К1,"[['Строительно-монтажные работы', 'Т.31 Операторная', '   Т.31 Монтаж системы бытовой канализации К1']]",2
   Т.31 Монтаж системы противопожарного водопровода В2,"[['Строительно-монтажные работы', 'Т.31 Операторная', '   Т.31 Монтаж системы противопожарного водопровода В2']]",2
   Т.С137 Инженерные сети (АС),"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.8414 Инженерные сети (до УПСГ) проект ""Гипротюменьнефтегаз""', '   Т.С137 Инженерные сети (АС)']",1
 ВЛ35 от ПС 35/10кВ №5 до ПС 35/10кВ №6,"[['ВЛ-35кВ и ВЛ-10кВ', 'Строительство электрической воздушной линии 35кВ от ПС 35/10кВ №5 до ПС 35/10кВ №6', ' ВЛ35 от ПС 35/10кВ №5 до ПС 35/10кВ №6']]",5
 ГД00.2 - газ к разделителю (ЭО),"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', ' ГД00.2 - газ к разделителю (ЭО)']",2
 ГД00.2 - газ к разделителю (ЭО),"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.С037 Технологические трубопроводы (ТК1.1-1.4)', ' ГД00.2 - газ к разделителю (ЭО)']",3
" ГТ00.1 - газ на ГПА-1.1, 1.2 (ЭО)","['4 ур Компрессорная станция с установкой подготовки газа', 'Т.С037 Инженерные сети ( АС1.1-1.4)', ' ГТ00.1 - газ на ГПА-1.1, 1.2 (ЭО)']",1
 ГТ7.1 - газ топливный на БРМ (ЭО),"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.С037 Инженерные сети ( АС1.1-1.4)', ' ГТ7.1 - газ топливный на БРМ (ЭО)']",1
 Д00.5 - дренаж в ЕД-6.2,"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.С037 Инженерные сети ( АС1.1-1.4)', ' Д00.5 - дренаж в ЕД-6.2']",3
 Монтаж технологического оборудования,"[[' 7 подэтап', ' Монтаж технологического оборудования']]",1
 Нефтесборный коллектор,"[['Куст-74  Нефтесборные сети', 'Куст-34 Обустройство', ' Нефтесборный коллектор']]",2
 Поз.С1-СОТ (Система охранного телевидения),"[['Строительство кустовой площадки №2 (4 скв.) КГС-2', 'Поз.С1 (Сети внутриплощадочные)', ' Поз.С1-СОТ (Система охранного телевидения)']]",1
 Приобретение и монтаж. Установка измерительная,"[['Куст-102  Обустройство', '1 подэтап', ' Приобретение и монтаж. Установка измерительная']]",1
" Приобретение и монтаж.Площадка КТП,станция управления (СУ) трансформаторов ТМПН","[['Куст-103 Обустройство', '1 подэтап', ' Приобретение и монтаж.Площадка КТП,станция управления (СУ) трансформаторов ТМПН']]",1
 Сети дренажа,"[['Куст-74  Нефтесборные сети', 'Куст-34 Обустройство', ' Сети дренажа']]",2
 Сети технологические,"[[' Куст-76 Обустройство', ' 2 подэтап', ' Сети технологические']]",2
 Сети технологические,"[['Куст-102  Обустройство', 'Куст-102 3 подэтап', ' Сети технологические']]",2
 Т.20.1-20.3 Сепаратор факельный (КИП),"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', ' Т.20.1-20.3 Сепаратор факельный (КИП)']",3
 Т.21.3 Емкость аварийная V=16 м3 (АС),"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.21 Площадка регенерации метанола', ' Т.21.3 Емкость аварийная V=16 м3 (АС)']",5
 Т.4.2 Блок электроснабжения и САУ (ТХ),"[['Строительно-монтажные работы', 'Т.4.2 Блок электроснабжения и САУ', ' Т.4.2 Блок электроснабжения и САУ (ТХ)']]",2
 Т.8414 Инженерные сети (Подключение сетей КС),"['4 ур Компрессорная станция с установкой подготовки газа', 'Т.8414 Инженерные сети (до УПСГ) проект ""Гипротюменьнефтегаз""', ' Т.8414 Инженерные сети (Подключение сетей КС)']",1
" Устройство опор. Эстакада технологическая 3,5,7,8,10","[['Фаза 2.2 Юг  Обустройство куста скважин', 'Блочное оборудование и обвязка скважин', ' Устройство опор. Эстакада технологическая 3,5,7,8,10']]",6
" Устройство опор. Эстакада технологическая 4,6,9,11","[['Фаза 2.2 Юг  Обустройство куста скважин', 'Блочное оборудование и обвязка скважин', ' Устройство опор. Эстакада технологическая 4,6,9,11']]",4
" Устройство опор. Эстакада технологическая, переходная площадка Пл1, 13 этап","[['Фаза 2.2 Юг  Обустройство куста скважин', 'Блочное оборудование и обвязка скважин', ' Устройство опор. Эстакада технологическая, переходная площадка Пл1, 13 этап']]",6
 Устройство основания. Прожекторная мачта,"[['Фаза 2.2 Юг  Обустройство куста скважин', 'Блочное оборудование и обвязка скважин', ' Устройство основания. Прожекторная мачта']]",3
 Электроснабжение,"[['Фаза 2.2 Юг  Обустройство куста скважин', 'Блочное оборудование и обвязка скважин', ' Электроснабжение']]",2
(АС) Архитектурно-строительные решения. (ВХЗ. Поз.3),"[['ВХЗ. Площадка водополготовки', 'КТП 10 кВ. Площадка водоподготовки (поз.3)', '(АС) Архитектурно-строительные решения. (ВХЗ. Поз.3)']]",2
(АС) Архитектурно-строительные решения. (ВХЗ. Поз.6),"[['ВХЗ. Площадка водополготовки', 'КТП 10 кВ. Для системы электробогрева. Площадка водоподготовки (поз.6)', '(АС) Архитектурно-строительные решения. (ВХЗ. Поз.6)']]",2
*Конструкции металлические (поз.11),"[['Строительство Т.11 СИКН', 'Архитектурно-строительные решения (АС) (поз.11)', '*Конструкции металлические (поз.11)']]",1
*Металлоконструкции (поз.АС1),"[['*Строительство.Эстакады инженерных сетей С027,С037', '*АС 1', '*Металлоконструкции (поз.АС1)']]",3
*Монтаж металлоконструкций фундамента (поз.43),"[['Строительство Т.43 Операторная', 'Архитектурно-строительные решения (АС) (поз.43) ', '*Монтаж металлоконструкций фундамента (поз.43)']]",2
*Монтаж резервуара (поз.13.1),"[['*Строительство Т 13.1 Резервуар противопожарного запаса воды, V- 5000 м3 ', 'Технология производства (поз.13.1)', '*Монтаж резервуара (поз.13.1)']]",2
*Речная вода В7 (ТК2),"[['*Сети Водоснабжения (Инженерные С037-ТК)', '*Участок ТК2', '*Речная вода В7 (ТК2)']]",1
*Устройство основания под резервуар (поз.13.1),"[['*Строительство Т 13.1 Резервуар противопожарного запаса воды, V- 5000 м3 ', 'Архитектурно-строительные решения (АС) (поз.13.1)', '*Устройство основания под резервуар (поз.13.1)']]",1
*Устройство свайного основания (поз.АС1),"[['*Строительство.Эстакады инженерных сетей С027,С037', '*АС 1', '*Устройство свайного основания (поз.АС1)']]",4
*Устройство свайного основания (поз.АС1),"[['Сети инженерные C-027, С-037', '*АС 1', '*Устройство свайного основания (поз.АС1)']]",3
*Устройство свайного основания (поз.АС2),"[['*Строительство.Эстакады инженерных сетей С027,С037', '*АС 2', '*Устройство свайного основания (поз.АС2)']]",4
*Устройство свайного основания (поз.АС2),"[['Сети инженерные C-027, С-037', '*АС 2', '*Устройство свайного основания (поз.АС2)']]",4
0-АС/Ограждения/Архитектурно-строительные решения,"[['1 этап строительства', 'Ограждение', '0-АС/Ограждения/Архитектурно-строительные решения']]",2
0-АС/Ограждения/Архитектурно-строительные решения,"[['Опоры под сети', 'Работы не вошедшие в СМГ', '0-АС/Ограждения/Архитектурно-строительные решения']]",2
0-АС/Ограждения/Архитектурно-строительные решения,"[['Установка предварительного сброса воды 4 ур', 'Ограждение', '0-АС/Ограждения/Архитектурно-строительные решения']]",5
0-ГП. Благоустройство (0-ГП-Благ),"[['Благоустройство (0-ГП-Благ)', 'Генеральный план (0-ГП-Благ)', '0-ГП. Благоустройство (0-ГП-Благ)']]",4
0-ГП. Вертикальная планировка,"[['Вертикальная планировка (УРГ)', 'Генеральный план (0-ГП)', '0-ГП. Вертикальная планировка']]",2
0-ГП. Вертикальная планировка (0-ГП-Верт),"[['Вертикальная планировка (0-ГП-Верт)', 'Генеральный план (0-ГП-Верт)', '0-ГП. Вертикальная планировка (0-ГП-Верт)']]",5
0-ГП. Устройство проездов и площадок (0-ГП-ПиП),"[['Проезды и площадки (0-ГП-ПиП)', 'Генеральный план (0-ГП-ПиП)', '0-ГП. Устройство проездов и площадок (0-ГП-ПиП)']]",3
0-ГП.2/Генеральный план,"['Газотурбинная электростанция (ГТЭС) 2 очередь 4 ур', '2-я очередь', '0-ГП.2/Генеральный план']",2
"01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В0","[['01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В8', '01/1-01-АК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/Автоматизация', '01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В0']]",2
"01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В1","[['01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В8', 'Общестроительные работы', '01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В1']]",2
"01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В2,3","[['01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В8', 'Общестроительные работы', '01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/В2,3']]",2
"01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/К1Н","[['ОБП ВЖК.ВИС 1 Этап.ОБП, ВЖК, РЭБСП/К1Н', 'НВК', '01/1-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/К1Н']]",2
01/1-НВК,"[['ОБП ВЖК.ВЖК.1.9', 'ОБП ВЖК.ВЖК.1.9', '01/1-НВК']]",4
"01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП","['5.8 Площадка складирования трубной продукции НТК с козловым краном', '5.14.1 Блок пожарных гидрантов', '01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП']",1
"01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП","[['8.6 Прожекторная мачта', 'Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП 2 этап', '01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП']]",4
"01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП 2 Этап","[['МЯ.ОБП ВЖК.ВИС 2 Этап.ОБП, ВЖК, РЭБСП', 'АС', '01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП 2 Этап']]",1
"01/2-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/К2","['Площадка базы ГСМ с топливораздаточным пунктом', '01/2-01-НВК/Технологические трубопроводы и запорная арматура В2.3', '01/2-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/К2']",5
"01/2-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/К2","[['8.6 Прожекторная мачта', 'Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП 2 этап', '01/2-01-НВК/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/К2']]",1
03/2-АК/Автоматизация площадки ХАЛ,"[['КНС производственно-дождевых сточных вод  (6.8)., Площадка химико-аналитической лаборатории.', 'ОБП ВЖК.ХАЛ.АК', '03/2-АК/Автоматизация площадки ХАЛ']]",2
1-подэтап,"['ОКС 1376П - Куст №77. Уровень 4', 'ОКС 1376П - Куст №42. Уровень 4', '1-подэтап']",1
11-1602.1/МСХ-18/11018/00031/Р-ГТЭС-200.1-АС2 Архитектурно-строительные решения (ЛОТ № 1),"['Строительно-монтажные работы', '2-я очередь', '11-1602.1/МСХ-18/11018/00031/Р-ГТЭС-200.1-АС2 Архитектурно-строительные решения (ЛОТ № 1)']",8
169.10.00-КС-34-АС (Архитектурно-строительные решения),"[['Т.34 Пункт контрольно-пропускной', '169.10.00-КС-34-АС (Архитектурно-строительные решения)']]",1
169.10.00-КС-37-АС (Архитектурно-строительные решения),"[['Т.37 Блок-бокс пожарного инвентаря', '169.10.00-КС-37-АС (Архитектурно-строительные решения)']]",5
169.10.00-КС-43-АС (Архитектурно-строительные решения),"[['43-АС (Архитектурно-строительные решения)', '169.10.00-КС-43-АС (Архитектурно-строительные решения)']]",2
169.10.00-КС-48-АС (Архитектурно-строительные решения),"[['Т.48 Ограждение площадки КС с УПГ', '169.10.00-КС-48-АС (Архитектурно-строительные решения)']]",5
169.10.00-КС-ВЛ 35 кВ-АС (Архитектурно-строительные решения),"[['ВЛ 35 кВ', '169.10.00-КС-ВЛ 35 кВ-АС (Архитектурно-строительные решения)']]",11
169.10.00-КС-ВЛ 35 кВ-ЭСЛ (Электроснабжение),"[['ВЛ 35 кВ', '169.10.00-КС-ВЛ 35 кВ-ЭСЛ (Электроснабжение)']]",3
2 подэтап (Куст 138),"[['Обустройство кустовой площадки (Куст 138)', '1 подэтап (Куст 138)', '2 подэтап (Куст 138)']]",2
2.11.3 Площадка ТБО (АС),"['ГП/поз.8.13/Стоянка техники на 10 единиц', '01-ГП/Площадка ОБП, ВЖК, РЭБСП, БГСМ (БУ)', '2.11.3 Площадка ТБО (АС)']",1
20.1-20.3 Сепаратор факельный ВД (АС),"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', '20.1-20.3 Сепаратор факельный ВД (АС)']",1
2013/288-ГПН-Р-118.ГП-К-01/1-АС2. Монтаж защитного ограждения РВС,"[['2.19.1 Резервуар запаса питьевой воды V=400м3', 'НВ.ОЛ/поз.2.19.1/Монтаж резервуара', '2013/288-ГПН-Р-118.ГП-К-01/1-АС2. Монтаж защитного ограждения РВС']]",1
"2013/288-ГПН-Р-118.ГП-К-01/4-01-НВК. Монтаж подводящих трубопроводов В0, В1 к п.2.19.1 РВС","[['2.19.1 Резервуар запаса питьевой воды V=400м3', 'НВ.ОЛ/поз.2.19.1/Монтаж резервуара', '2013/288-ГПН-Р-118.ГП-К-01/4-01-НВК. Монтаж подводящих трубопроводов В0, В1 к п.2.19.1 РВС']]",3
222РЗА2/поз.222/Релейная защита,"[['Поз.222 Блок-модуль ЗРУ-35 кВ (2 шт.)', '222РЗА2/поз.222/Релейная защита']]",1
3 подэтап (Куст 138),"[['Обустройство кустовой площадки (Куст 138)', '1 подэтап (Куст 138)', '3 подэтап (Куст 138)']]",2
3 подэтап (Куст 8),"['Строительство нефтесборных сетей (Куст 5)', 'Обустройство кустовой площадки (Куст 8)', '3 подэтап (Куст 8)']",1
4 подэтап (Куст 28),"[['Обустройство кустовой площадки (Куст 28)', '2 подэтап (Куст 28)', '4 подэтап (Куст 28)']]",1
4 подэтап (Куст 45),"['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', '4 подэтап (Куст 45)']",1
4 подэтап (Куст 8),"['Строительство нефтесборных сетей (Куст 5)', 'Обустройство кустовой площадки (Куст 8)', '4 подэтап (Куст 8)']",1
4.1.5 Емкость расходная,"[['01/2-01-ТС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП/Тепловые сети', '4.1 Топливозаправочный пункт', '4.1.5 Емкость расходная']]",1
4.1.8 Блок приточной вентиляции с воздухозаборной трубой,"['5.8 Площадка складирования трубной продукции НТК с козловым краном', '5.14.1 Блок пожарных гидрантов', '4.1.8 Блок приточной вентиляции с воздухозаборной трубой']",1
4.5.1 Площадка для автоцистерн (на 2 автомобиля),"['5.8 Площадка складирования трубной продукции НТК с козловым краном', '5.14.1 Блок пожарных гидрантов', '4.5.1 Площадка для автоцистерн (на 2 автомобиля)']",1
4.5.2 Аппаратурный блок насосной перекачки топлива,"['5.8 Площадка складирования трубной продукции НТК с козловым краном', '5.14.1 Блок пожарных гидрантов', '4.5.2 Аппаратурный блок насосной перекачки топлива']",1
4.8 Площадка сбора ТБО,"['4.5 Насосная перекачки топлива', '4.5.2 Аппаратурный блок насосной перекачки топлива', '4.8 Площадка сбора ТБО']",2
5 подэтап (Куст 28),"[['Обустройство кустовой площадки (Куст 28)', '2 подэтап (Куст 28)', '5 подэтап (Куст 28)']]",1
5.11.3 Прожекторная мачта,"[['5.11.1 Прожекторная мачта', '5.11.2 Прожекторная мачта', '5.11.3 Прожекторная мачта']]",1
6 подэтап,"['ОКС 866 - Куст №45. Уровень 4', 'ОКС 866 - Куст №26. Уровень 4', '6 подэтап']",2
6 подэтап (Куст 28),"[['Обустройство кустовой площадки (Куст 28)', '7 подэтап (Куст 28)', '6 подэтап (Куст 28)']]",2
7 подэтап,"['ОКС 866 - Куст №45. Уровень 4', 'ОКС 866 - Куст №26. Уровень 4', '7 подэтап']",2
75.17.2-ТГП(УГ5;КГС2)-Л Линейная часть  ,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', '75.17.2-ТГП(УГ5;КГС2)-Л Линейная часть  ']",5
75.17.2-ТГП-(КС;УГ1)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок КС с УПГ - крановый узел УГ-2']",1
75.17.2-ТГП-(КС;УГ2)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок КС с УПГ - крановый узел УГ-2']",2
75.17.2-ТГП-(КС;УГ2)-Л Линейная часть,"['Строительство газопровода КС с УПГ-ЗМЛУ и обустройство объектов закачки ЗМЛУ (ф426*16 47 км)', 'Строительно-монтажные работы', '75.17.2-ТГП-(КС;УГ2)-Л Линейная часть']",18
75.17.2-ТГП-(КС;УГ2)-Л Линейная часть,"[['Строительно-монтажные работы', 'Участок КС с УПГ - крановый узел УГ-2', '75.17.2-ТГП-(КС;УГ2)-Л Линейная часть']]",20
75.17.2-ТГП-(КС;УГ2)-Л Линейная часть,"[['Строительство газопровода КС с УПГ-ЗМЛУ и обустройство объектов закачки ЗМЛУ (ф426*16 47 км)', 'Участок КС с УПГ-крановый узел УГ-2', '75.17.2-ТГП-(КС;УГ2)-Л Линейная часть']]",9
75.17.2-ТГП-(ННБ),"[['Строительство перехода через р. Мессояха', 'ННБ р.Мессояха', '75.17.2-ТГП-(ННБ)']]",16
75.17.2-ТГП-(ННБ)-Л Линейная часть,"[['Строительно-монтажные работы', 'Переход реки Мессояха (ННБ)', '75.17.2-ТГП-(ННБ)-Л Линейная часть']]",3
75.17.2-ТГП-(ННБ)-Л Линейная часть,"[['Строительство газопровода КС с УПГ-ЗМЛУ и обустройство объектов закачки ЗМЛУ (ф426*16 47 км)', 'Переход реки Мессояха (ННБ)', '75.17.2-ТГП-(ННБ)-Л Линейная часть']]",2
75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', '75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть']",8
75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха']",8
75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть,"[['Строительно-монтажные работы', 'Участок переход реки Мессояха - крановый узел УГ3', '75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть']]",30
75.17.2-ТГП-(УГ1)-ГП Генплан,"['Строительство газопровода КС с УПГ-ЗМЛУ и обустройство объектов закачки ЗМЛУ (ф426*16 47 км)', 'Строительно-монтажные работы', '75.17.2-ТГП-(УГ1)-ГП Генплан']",3
75.17.2-ТГП-(УГ2)-АС Общестроительная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ2']",7
75.17.2-ТГП-(УГ2)-ГП Генплан,"[['Строительно-монтажные работы', 'Крановый узел УГ2', '75.17.2-ТГП-(УГ2)-ГП Генплан']]",1
75.17.2-ТГП-(УГ2)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ2']",18
75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха']",10
75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть,"[['Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха', '75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть']]",17
75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть,"[['Строительство газопровода КС с УПГ-ЗМЛУ и обустройство объектов закачки ЗМЛУ (ф426*16 47 км)', 'Участок крановый узел УГ2 - переход реки Мессояха', '75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть']]",2
75.17.2-ТГП-(УГ3)-АС Общестроительная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ3']",6
