object,group
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Внутренние и наружные отделочные работы']",104
"['Сети технологические (С037-ТК)', 'Испытания технологических трубопроводов', 'Испытания трубопроводов']",42
"['Строительно-монтажные работы', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (КД)']",38
"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха']",37
"['Строительно-монтажные работы', 'Т.31 Операторная', 'Т.31 Операторная (ТХТ)']",32
"['Электрохимзащита трубопроводов (ЭХЗ)', 'Электрохимзащита (ЭХЗ)', 'Монтаж приборов и средств ЭХЗ (ЭХЗ)']",32
"['Строительно-монтажные работы', 'Т.3.5 Блок выходного фильтр-сепаратора', 'Т.3.5 Блок выходного фильтр-сепаратора (ТХ)']",31
"['Строительно-монтажные работы', 'Участок переход реки Мессояха - крановый узел УГ3', '75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть']",30
"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ5']",29
"['С037/Сети инженерные (1 этап)', 'ТК/С037/Сети технологические с давлением до 10 МПа', 'Лист 18']",28
"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 57)', 'Строительные работы опор сетей инженерных (Куст 57)']",28
"['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)']",28
"['Проект: ОКС 853 - Куст-25 ОКС 853 - Куст №25. Уровень 3+4', 'WBS: ОКС 853 - Куст-25.9.2 Обустройство', 'WBS: ОКС 853 - Куст-25.9.2.9.16 Строительные работы опор сетей инженерных']",27
