group,title
Монтаж КМ,178
АКЗ и окраска,126
Монтаж трубопровода,111
Внутренние и наружные отделочные работы,108
Устройство свайного основания,90
Строительные работы опор сетей инженерных (Куст 70),80
Монтаж оборудования,80
Монтаж запорной арматуры,78
АС.ТТ,75
Лист 18,74
Строительные работы опор сетей инженерных (Куст 72),71
Строительные работы опор сетей инженерных,70
Строительные работы опор сетей инженерных (Куст 45),66
"Монтаж электрооборудования, молниезащиты и заземления",66
Устройство свайного поля,65
Строительные работы опор сетей инженерных (Куст 138),63
Сети электрические (ЭМ),63
Строительные работы опор сетей инженерных (Куст 75),62
Строительные работы опор сетей инженерных (Куст 73),61
Строительные работы опор сетей инженерных (Куст 28),57
"Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (КД)",56
Строительные работы. Сети инженерные (Куст 15),54
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 70)",52
Лист 13,51
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 72)",51
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 71)",51
Испытания трубопроводов,51
Сети инженерные (АС),50
Строительные работы опор сетей инженерных (Куст 1БИС),50
"Сети технологические дренажные, Сети электрические (АС)",50
75.17.2-ТГП-(КС;УГ2)-Л Линейная часть,49
Прокладка кабеля,48
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 75)",48
Монтаж оборудования системы,47
Строительные работы опор сетей инженерных (Куст 57),47
75.17.2-ТГП-(ННБ;УГ3)-Л Линейная часть,46
Строительные работы. Сети инженерные (Куст 29),46
Строительные работы опор сетей инженерных (Куст 8),46
Земляные работы,46
Устройство площадки,44
Строительные работы опор сетей инженерных (Куст 74),43
Строительные работы опор сетей инженерных (Куст 71),43
Технологические трубопроводы (ТК1),41
Выкидные трубопроводы (Куст 45),41
Т.31 Операторная (ТХТ),41
Т.4.5 Блок технологический АВО газа и сепараторов (ТХ),40
Монтаж кабеля,40
"Нефтегазопровод, высоконапорный водовод (АС)",39
Устройство ростверка,39
Работы не вошедшие в СМГ:,39
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 8)",39
Инженерные сети (АС),38
Т.3.5 Блок выходного фильтр-сепаратора (ТХ),38
Лист 23,38
Строительные работы опор сетей инженерных (Куст 5),38
"Сети противопожарного водопровода В2, В2С (ТК5)",37
Строительные работы опор сетей инженерных (Куст 69),37
Строительные работы опор сетей инженерных (Куст 35),37
Устройство кровли,37
Технологические трубопроводы (ТК),37
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 45)",37
Устройство свайного основания (огражд.),36
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 138)",36
Внутренние отделочные работы,36
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 27)",35
Лист 3,35
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 5)",34
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 69)",34
"Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (АС)",33
Лист 25,33
Термостабилизация грунтов,33
Монтаж приборов и средств ЭХЗ (ЭХЗ),33
"Т.5.1,5.3,5.4 Блок компрессорного агрегата низкого давления (АС)",32
Монтаж воздуховодов,32
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 73)",32
Монтаж ограждения,31
Лист 9,31
Устройство основания,30
Монтаж металлоконструкций ограждения (огражд.),30
Строительные работы опор сетей инженерных (Куст 27),30
Система электроснабжения (ЭС),30
Выкидные трубопроводы (Куст 70),30
Выкидные трубопроводы (Куст 72),30
