group	file	keywords
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Июнь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Июль
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Август
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Январь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Май
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Апрель
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Сентябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Декабрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Ноябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Октябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Февраль
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Март
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ИТОГО
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СВОД за месяц
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СВОД
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Итого
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	График производства работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Дни месяца
