,word,total_count,СМГ Зима,СМГ Мессояха,СМГ Н.Порт,Томский интегрированный проект
1190,Примечание,6434,13,1459,511,4451
676, ,5342,16,448,436,4442
114,факт,6971,71,1542,928,4430
1141,Факт,6772,8,1532,805,4427
79,Наименование работ,6479,58,1309,697,4415
24,план,6945,71,1542,928,4404
1086,План,6529,8,1530,587,4404
69631,"№
п/п",4428,0,35,0,4393
3531,Начало,4787,5,233,157,4392
3616,Окончание,4788,5,243,148,4392
2775,Ед. изм.,6281,16,1468,405,4392
271392,Дни мес.,4392,0,0,0,4392
271303,Остаток по выполнению,4391,0,0,0,4391
4777,Выполнено с начала строительства,5193,0,288,514,4391
271319,"В случае, если по плану работа уже должна начаться, а по факту к ней не приступили, должен быть заполнен столбец ""Примечания"". В нем необходимо указать причины невыполнения графика по позициям",4386,0,0,0,4386
271118,"Информация по работе за день должна быть в тех же единицах измерения, что и общее количество по проекту. Если по работе стоит план 100%, то каждый день надо писать, сколько процентов выполнено, а не штук, метров и т.д.",4386,0,0,0,4386
271354,"В столбце ""Примечания"" всегда должна присутствовать актуальная информация, если всё идет по плану, он должен быть пустым",4386,0,0,0,4386
271204,"Дата должна быть заполнена в формате дд.мм.гг (например 25.12.14), не допускается использование запятых для разделения, буквы г. в конце (неверно: 25,12,14; 25.12.14г.)",4386,0,0,0,4386
271228,Для работы с месячно-суточным графиком выполнения работ учитывайте приведенные ниже инструкции,4386,0,0,0,4386
271283,"При выполнении работ, которые отсутствуют в МСГ, необходимо оформить заявку на внесение изменений в МСГ в соответствии с установленным шаблоном",4386,0,0,0,4386
271108,"Если плановые сроки работ не выдерживаются, нужно проставить ожидаемые сроки выполнения работ. ",4366,0,0,0,4366
271103,"В МСГ должна быть заполнена актуальная информация по людям и технике, работающим на объекте",4324,0,0,0,4324
271213,"Наименование должностей, профессий",4323,0,0,0,4323
271186,"Во время начала выполнения работ необходимо проставить текущую дату в столбце ""Фактические сроки начала работ"", при этом столбец ожидаемые сроки выполнения нужно очистить. При наличии информации о фактических сроках, ожидаемые должны отсутствовать",4319,0,0,0,4319
271310,"Если ожидаемые сроки работ уже прошли, а работы не начаты, необходимо обновить информацию. В столбце ожидаемые сроки выполнения работ всегда должны стоять актуальные даты.",4319,0,0,0,4319
271217,"Заполняется информация только на текущую дату. Старые данные править запрещено. Если необходимо внести корректировку в ранее представленные данные, необходимо направить запрос на Администратора проекта с указанием причин корректировки",4319,0,0,0,4319
271249,"Необходимо проверить информацию по срокам выполнения работ, соответствует ли она действительности. Для облегчения процесса  вчерашняя дата подсвечивается красным, сегодняшняя  желтым, завтрашняя - зеленым",4319,0,0,0,4319
271338,"Необходимо заполнить актуальную информацию по каждой работе на текущую дату. Если работы не велись, нужно проставить нули.",4319,0,0,0,4319
271345,"После завершения работы необходимо проставить текущую дату в столбце ""Фактические сроки завершения работ"", при этом столбец ожидаемые сроки выполнения нужно очистить. При наличии информации о фактических сроках, ожидаемые должны отсутствовать",4319,0,0,0,4319
271323,"Файл должен называться в соответствии с текущей датой в формате год_месяц_день объект (Например, 2014_12_25 ГТЭС)",4319,0,0,0,4319
43705,Ремонт,4296,0,39,2,4255
271183,"Заказчик: ООО ""Газпромнефть-Восток""",4254,0,0,0,4254
4245,8,5098,0,489,360,4249
4729,7,5148,0,515,389,4244
271240,"Наименование и марка техники (механизма), оборудования",4218,0,0,0,4218
4156,9,5020,0,469,343,4208
416,1.1,5269,30,394,649,4196
10999,ИТОГО,5396,0,1161,44,4191
1464,№ п/п,6182,6,1392,598,4186
257687,Люди,4188,0,1,1,4186
36,шт,6322,74,1486,726,4036
727,%,5745,29,1284,431,4001
124,м3,6095,47,1383,675,3990
395,1.2,5007,30,342,646,3989
106,м2,6044,38,1353,688,3965
287,2.1,4730,37,165,575,3953
271391,"В столбце ""Количество всего по проекту"" должна быть представлена информация согласно РД. ",3939,0,0,0,3939
271337,В плановой сводке должны быть заполнены только плановые даты. Ожидаемые и фактические будут заполняться в ходе выполнения работ. ,3939,0,0,0,3939
271326,Для составления МСГ на следующий месяц необходимо учитывать следующие требования:,3939,0,0,0,3939
271215,"Распределение работ по дням должно соответствовать плановым датам. Первое выполнение по работе должно совпадать с плановым началом работы, последнее выполнение по работе - с плановым окончанием.",3939,0,0,0,3939
271313,Плановые единицы измерения по работе  должны совпадать с единицами измерения из РД. Распределение по дням работы должно измеряться в тех же единицах. ,3939,0,0,0,3939
