,group,file,guid_count,body
3651,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_06\смг к отчетам 06.06.16\СМГ 06.06.2016 Ш-ВКС СПС проверил инженер НТН Череватюк П. П..xls,0,
4666,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 06.01.17\СМГ ЗЛМ-ВКС-СПС 06.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4665,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 05.01.17\СМГ Ш-ГКС-СПС 05.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4664,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 05.01.17\СМГ Ш- ВКС-СПС 05.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4663,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 05.01.17\СМГ ЗЛМ-ВКС-СПС 05.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4662,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 04.01.17\СМГ Ш-ГКС-СПС 04.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4661,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 04.01.17\СМГ Ш- ВКС-СПС 04.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4660,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 04.01.17\СМГ ЗЛМ-ВКС-СПС 04.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4659,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 03.01.17\СМГ Ш-ГКС-СПС 03.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4658,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 03.01.17\СМГ Ш- ВКС-СПС 03.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
