,Unnamed: 0,group,file,guid_count,body
5629,477,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМР Инжиниринг ОБП ВЖК 26.12.2017.xlsb,1,['идентификатор guid ']
5631,481,СМГ Мессояха,"СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка_СМГ_ обустройство АРГОС-26 12 2017 (3-я очередь, 29-16).xlsb",1,['идентификатор guid ']
5635,480,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМР ТБО ПС 26.12.2017.xlsb,1,['идентификатор guid ']
5636,474,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМГ ОБП ВЖК ПС 26.12.2017.xlsb,1,['идентификатор guid ']
5638,473,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМГ ОБП ВЖК ВегаТраст  26.12.2017.xlsb,1,['идентификатор guid ']
5639,475,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМГ по Обустройству_Евракор_26.12.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5641,478,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМР по Обустройству_ТИК_26.12.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5643,476,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка СМГ по Обустройству_Премьерстрой_26.12.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5645,484,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка_СМР_энергетика_Премьерстрой_26.12.2017 (Проект 853)ПСД.xlsb,1,['индефикаторguid']
5647,483,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка_СМГ_ обустройство АРГОС-26 12 2017 (Проект 866) .xlsb,1,['идентификатор guid ']
5649,482,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\декабрь\Сводки СМР за 26.12.2017\Сводка_СМГ_ обустройство АРГОС-26 12 2017 (Проект 853).xlsb,1,['id']
5655,470,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Апрель\Сводки СМР за 30.04.2017\Сводки_СМР_обустройство ТИК _30 04 2017_(Проект 866).xlsb,1,['идентификатор guid ']
5661,460,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Апрель\Сводки СМР за 30.04.2017\Сводка СМР ОБП ВЖК СМГ_30.04.2017 Вега-Траст.xlsb,1,['идентификатор guid ']
5675,458,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Апрель\Сводки СМР за 30.04.2017\Сводка СМР ВЗ Евракор 30.04.2017.xlsx,1,['идентификатор guid ']
5680,452,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Август\Сводка СМР за 30.08.2017\Сводка_СМР_энергетика_Евракор_30.08.2017_(Проект 853).xlsx,1,['индефикаторguid']
