,word,total_count,СМГ Зима,СМГ Мессояха,СМГ Н.Порт,Томский интегрированный проект
751,примечание,6455.0,25.0,1459.0,520.0,4451.0
71,факт,7043.0,77.0,1581.0,937.0,4448.0
85,наименованиеработ,6653.0,58.0,1462.0,697.0,4436.0
11,едизм,6929.0,75.0,1514.0,924.0,4416.0
3,план,6998.0,77.0,1580.0,936.0,4405.0
35,№п/п,6742.0,64.0,1488.0,797.0,4393.0
2465,окончание,4815.0,5.0,253.0,165.0,4392.0
2441,начало,4845.0,5.0,258.0,190.0,4392.0
169495,производстворабот,4392.0,0.0,0.0,0.0,4392.0
169511,днимес,4392.0,0.0,0.0,0.0,4392.0
3296,выполненосначаластроительства,6490.0,0.0,1345.0,754.0,4391.0
169480,остатокповыполнению,4391.0,0.0,0.0,0.0,4391.0
169477,общий%выполнения,4391.0,0.0,0.0,0.0,4391.0
169508,"встолбце""примечания""всегдадолжнаприсутствоватьактуальнаяинформацияесливсёидетпоплануондолженбытьпустым",4386.0,0.0,0.0,0.0,4386.0
169598,"вслучаееслипоплануработаужедолжнаначатьсяапофактукнейнеприступилидолженбытьзаполненстолбец""примечания""внемнеобходимоуказатьпричиныневыполненияграфикапопозициям",4386.0,0.0,0.0,0.0,4386.0
169629,датадолжнабытьзаполненавформатеддммгг(например251214)недопускаетсяиспользованиезапятыхдляразделениябуквыгвконце(неверно:251214;251214г),4386.0,0.0,0.0,0.0,4386.0
169594,дляработысмесячно-суточнымграфикомвыполненияработучитывайтеприведенныенижеинструкции,4386.0,0.0,0.0,0.0,4386.0
169531,информацияпоработезаденьдолжнабытьвтехжеединицахизмерениячтоиобщееколичествопопроектуеслипоработестоитплан100%токаждыйденьнадописатьсколькопроцентоввыполненоанештукметровитд,4386.0,0.0,0.0,0.0,4386.0
169577,привыполненииработкоторыеотсутствуютвмсгнеобходимооформитьзаявкунавнесениеизмененийвмсгвсоответствиисустановленнымшаблоном,4386.0,0.0,0.0,0.0,4386.0
169554,еслиплановыесрокиработневыдерживаютсянужнопроставитьожидаемыесрокивыполненияработ,4366.0,0.0,0.0,0.0,4366.0
706,итого,6570.0,9.0,1466.0,760.0,4335.0
169524,вмсгдолжнабытьзаполненаактуальнаяинформацияполюдямитехникеработающимнаобъекте,4324.0,0.0,0.0,0.0,4324.0
169593,наименованиедолжностейпрофессий,4323.0,0.0,0.0,0.0,4323.0
169618,необходимопроверитьинформациюпосрокамвыполненияработсоответствуетлионадействительностидляоблегченияпроцессавчерашняядатаподсвечиваетсякраснымсегодняшняяжелтымзавтрашняя-зеленым,4319.0,0.0,0.0,0.0,4319.0
169586,"вовремяначалавыполненияработнеобходимопроставитьтекущуюдатувстолбце""фактическиесрокиначаларабот""приэтомстолбецожидаемыесрокивыполнениянужноочиститьприналичииинформацииофактическихсрокахожидаемыедолжныотсутствовать",4319.0,0.0,0.0,0.0,4319.0
169437,файлдолженназыватьсявсоответствиистекущейдатойвформатегодмесяцденьобъект(например20141225гтэс),4319.0,0.0,0.0,0.0,4319.0
169366,необходимозаполнитьактуальнуюинформациюпокаждойработенатекущуюдатуеслиработыневелисьнужнопроставитьнули,4319.0,0.0,0.0,0.0,4319.0
169362,еслиожидаемыесрокиработужепрошлиаработыненачатынеобходимообновитьинформациювстолбцеожидаемыесрокивыполненияработвсегдадолжныстоятьактуальныедаты,4319.0,0.0,0.0,0.0,4319.0
169453,"послезавершенияработынеобходимопроставитьтекущуюдатувстолбце""фактическиесрокизавершенияработ""приэтомстолбецожидаемыесрокивыполнениянужноочиститьприналичииинформацииофактическихсрокахожидаемыедолжныотсутствовать",4319.0,0.0,0.0,0.0,4319.0
169534,заполняетсяинформациятольконатекущуюдатустарыеданныеправитьзапрещеноеслинеобходимовнестикорректировкувранеепредставленныеданныенеобходимонаправитьзапроснаадминистраторапроектасуказаниемпричинкорректировки,4319.0,0.0,0.0,0.0,4319.0
23345,ремонт,4315.0,0.0,43.0,17.0,4255.0
169448,"заказчик:ооо""газпромнефть-восток""",4254.0,0.0,0.0,0.0,4254.0
169523,видремонта/потребностьвзапчастях,4218.0,0.0,0.0,0.0,4218.0
169478,наименованиеимаркатехники(механизма)оборудования,4218.0,0.0,0.0,0.0,4218.0
146306,люди,4207.0,0.0,7.0,3.0,4197.0
19,шт,6545.0,74.0,1564.0,838.0,4069.0
491,%,5756.0,29.0,1295.0,431.0,4001.0
33,м3,6120.0,47.0,1408.0,675.0,3990.0
24,м2,6074.0,38.0,1383.0,688.0,3965.0
169357,работывграфикемсгдолжнысоответствоватьработамиздетальногографика,3939.0,0.0,0.0,0.0,3939.0
169611,распределениеработподнямдолжносоответствоватьплановымдатампервоевыполнениепоработедолжносовпадатьсплановымначаломработыпоследнеевыполнениепоработе-сплановымокончанием,3939.0,0.0,0.0,0.0,3939.0
169552,вплановойсводкедолжныбытьзаполненытолькоплановыедатыожидаемыеифактическиебудутзаполнятьсявходевыполненияработ,3939.0,0.0,0.0,0.0,3939.0
169513,длясоставлениямсгнаследующиймесяцнеобходимоучитыватьследующиетребования:,3939.0,0.0,0.0,0.0,3939.0
