group	file	guid_count	body
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\!График СМГ на ЯНВАРЬ 2020 года СФГ (Автосохраненный).xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\!График СМГ на ЯНВАРЬ 2020 года СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\МСГ Январь  ЭСК Энергомост.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\МСГ Январь Газ ЮНС.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\МСГ Январь НГС ЮНС.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\МСГ Январь Сибрег.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\01 Январь 2020\EXCEL\МСГ Январь СМУ-7.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\!График СМГ на ЯНВАРЬ 2020 года СФГ (Автосохраненный).xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\!График СМГ на ЯНВАРЬ 2020 года СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\МСГ Январь  ЭСК Энергомост.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\МСГ Январь Газ ЮНС.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\МСГ Январь НГС ЮНС.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\МСГ Январь Сибрег.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\02 Февраль 2020\EXCEL\МСГ Январь СМУ-7.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\МСГ март Сибирский Регион.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\МСГ СМУ №7 м.р им. А.Жагрина (004).xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\МСГ февраль, март ЭСК Энергомост.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\Ключи\Ключевые события СМУ №7 от 10.03.2020.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\Ключи\Ключевые события Стройфинансгрупп от 09.03.2020.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\Ключи\Ключевые события Энергомост от 09.03.2020.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\Ключи\Ключевые события Югранефтестрой от 09.03.2020.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\МСГ март ЮНС\МСГ Газопроводы-ЮНС  01.03.2020.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\03 Март 2020\МСГ март ЮНС\МСГ НГС-ЮНС от 01.03.2020.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\04 Апрель 2020\МСГ СФГ на 2020.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\04 Апрель 2020\МСГ Энергомост.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\04 Апрель 2020\МСГ ЮНС Газопроводы.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\04 Апрель 2020\МСГ ЮНС НГС.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\05 Май 2020\МСГ Май   ЭСК Энергомост 30.04 не согласов.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\05 Май 2020\ООО Энергия\График движения ресурсов.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\05 Май 2020\ООО Энергия\график доставки мтр.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\05 Май 2020\ООО Энергия\Сводка 0.9.05.2020 энергия.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\05 Май 2020\Согласовано\МСГ  май Сибрег.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\05 Май 2020\Согласовано\МСГ Май (5 куст, ОБП).xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\06 Июнь\Сибирский Регион\МСГ Июнь СИбрег.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\06 Июнь\СМУ №7\МСГ 27.05.2020 на отправку СМУ №7.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\06 Июнь\Энергомост\МСГ Июнь ЭСК Энергомост  до 31.07.2020.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\06 Июнь\Энергомост\МСГ Июнь ЭСК Энергомост.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\07 Июль\СибРег\МСГ  Июль Энергокомплекс.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\07 Июль\СибРег\МСГ Июнь ЭСК Энергомост  до 31.07.2020.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\07 Июль\СФГ\!График СМГ на ВЕСЬ 2020 года СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\07 Июль\Энергомост\МСГ Июнь ЭСК Энергомост  до 31.07.2020.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\08 Август\МСГ Август  ЭСК Энергомост.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\09 Сентябрь\МСГ Сентябрь ВЛ 35кВ  ЭСК Энергомост ГПНХ 28.08.2020 г..xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\09 Сентябрь\МСГ Сентябрь ПС 6-35 кВ и ПС 35-6 кВ  ЭСК Энергомост ГПНХ  г..xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\09 Сентябрь\Согласованные\!График СМГ на ВЕСЬ 2020 года СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\10 Октябрь\СИБРЕГ\МСГ октябрь.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\10 Октябрь\СФГ\!График СМГ на ВЕСЬ 2020 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\10 Октябрь\Энергомост\График движения людских и техничесих ресурсов Энергомост  на Октябрь.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\10 Октябрь\Энергомост\МСГ ПС 35-6 кВ Узел сепарации на Октябрь.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\10 Октябрь\Энергомост\МСГ ПС 6-35 кВ Энергокомплекс 23.09.2020  на Октябрь.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\10 Октябрь\Энергомост\МСГ Сентябрь ВЛ 35кВ  ЭСК Энергомост  Октябрь.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\11 Ноябрь\ООО СФГ\!График СМГ на ВЕСЬ 2020 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\12 Декабрь\СФГ\!График МСГ на ВЕСЬ 2020 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\12 Декабрь\Энергомост\МСГ  ВЛ 35кВ  ЭСК Энергомост  Декабрь.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2020\12 Декабрь\Энергомост\МСГ ПС 35-6 кВ Узел сепарации на декабрь.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2020\12 Декабрь\Энергомост\МСГ ПС 6-35 кВ Энергокомплекс на Декабрь.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\01 Январь 2021\МСГ  ВЛ 35кВ  ЭСК Энергомост  Январь  22.01.2021.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\01 Январь 2021\МСГ ПС 35-6 кВ Узел сепарации на Январь 22.01.2021.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\01 Январь 2021\МСГ ПС 6-35 кВ Энергокомплекс Январь 22.01.2021.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\02 Февраль 2021\МСГ  ВЛ 35кВ  ЭСК Энергомост  Февраль 28.02.2021 (1).xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\02 Февраль 2021\МСГ ПС 35-6 кВ Узел сепарации на Февраль 28.02.2021 (1).xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\02 Февраль 2021\МСГ ПС 6-35 кВ Энергокомплекс Февраль 28.02.2021.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\03 Март 2021\МСГ  ВЛ 35кВ  ЭСК Энергомост  Март.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\04 Апрель 2021\График У П Н Март  от 01.04.2021.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\04 Апрель 2021\МСГ  ВЛ 35кВ  ЭСК Энергомост Апрель  02.04.2021.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\05 Май 2021\!График МСГ на Май 2021 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\05 Май 2021\МСГ ВЛ 35кВ ЭСК Энергомост Май.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\06 Июнь\!График МСГ на Июнь 2021 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\06 Июнь\график по узлам водоводов.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\06 Июнь\МСГ  ВЛ 35кВ  ЭСК Энергомост Апрель  01.06.2021.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\07 Июль\!График МСГ на Июль 2021 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\08 Август\ООО СФГ !График МСГ на Август 2021 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\08 Август\ООО ЭСК Энергомост с 01.08.2021 МСГ  ВЛ 35кВ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\09 Сентябрь\!График МСГ на Сентябрь 2021 год СФГ.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\09 Сентябрь\МСГ АБЖК.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\10 Октябрь\МСГ АБЖК.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\10 Октябрь\МСГ объекты ПО  Октябрь Энергомост.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\11 Ноябрь\МСГ  ВЛ 35кВ  ЭСК Энергомост с 30.11.2021.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\11 Ноябрь\МСГ АБЖК.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\11 Ноябрь\МСГ объекты ПО  Ноябрь Энергомост 30.11.2021.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\12 Декабрь\МСГ  ВЛ 35кВ  ЭСК Энергомост с 01.12.2021.xlsx	1	['идентификатор guid ']
СМГ Зима	СМГ Зима\\МСГ\2021\12 Декабрь\МСГ АБЖК.xlsx	0	
СМГ Зима	СМГ Зима\\МСГ\2021\12 Декабрь\МСГ объекты ПО  Октябрь Энергомост 01.12.2021.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\ПСД\Сводка ЦПС СМР 30_08_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\РГИ\Сводка Кусты СМР 01_09_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\РГИ\Сводка Кусты СМР 30_08_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\СГАТ\Сводка СМР НН 30 08 14г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\СЭМ\Сводка ГТЭС СМР 01_09_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\СЭМ\Сводка ГТЭС СМР 30_08_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\ЦСС\Сводка ПСП СМР 01_09_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Август 2014\ЦСС\Сводка ПСП СМР 30_08_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Апрель 2014\ПСД\2014_04_30_ сводка по мобилизации ПСД.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Апрель 2014\ПСД\ЦПС СМР\Сводка по ЦПС СМР в 2014 г  01 05 2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Апрель 2014\ПСД\ЦПС СМР\апрель\Сводка по ЦПС СМР в 2014 г  30 04 2014 .xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Апрель 2014\РусГазИнжиниринг\Сводка СМР по Кусты 01 05 2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Апрель 2014\РусГазИнжиниринг\Сводка СМР по Кусты 30 04 2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\Сводка ГТЭС СМР 30_12_2014 г.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\Сводка УДС отсыпка 30 12 2014.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\Велестрой\Сводка СМР НН Велесстрой 30 12 2014г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\ПСД\Сводка ЦПС СМР 30_12_2014.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\СГАТ\Сводка СМР НН СГАТ 30 12 2014гыаыукаыу .xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\СЭМ\Сводка ГТЭС СМР 30_12_2014 г.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Декабрь 2014\ЦСС\Сводка ПСП СМР 30_12_2014 г (1).xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июль 2014\ПСД\Сводка ЦПС СМР 31_07_2014 (2).xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июль 2014\РГИ\Сводка Кусты СМР 31_07_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июль 2014\СГАТ\Сводка СМР НН 31 07 14г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июль 2014\СЭМ\Сводка ГТЭС СМР 31_07_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июль 2014\ЦСС\Сводка ПСП СМР 31_07_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июнь 2014\ПСД\Сводка ЦПС СМР в  2014 г  26_06_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июнь 2014\РГИ\Сводка СМР  Кусты 26_06_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июнь 2014\СЭМ\Сводка ГТЭС СМР в 2014 г   26_06_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Июнь 2014\ЦСС\Сводка ПСП СМР в 2014 г  26_06_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Май 2014\ПСД\СМР\Сводка по ЦПС СМР в 2014 г  31 05 2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Май 2014\РусГазИнжиниринг\Сводка СМР  Кусты 31_05_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Май 2014\СЭМ\СМР\Сводка ГТЭС СМР в 2014 г  31_05_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Май 2014\ЦСС\СМР\Сводка ПСП СМР в 2014 г  31_05_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Май 2014\ЦСС\СМР\Сводка ПСП СМР в 2014 г 01_06_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Ноябрь 2014\Велестрой\Сводка СМР НН Велесстрой 29 11 2014г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Ноябрь 2014\ПСД\Сводка ЦПС 29_11_2014 г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Ноябрь 2014\СГАТ\Сводка СМР НН СГАТ 29 11 2014г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Ноябрь 2014\СЭМ\Сводка ГТЭС СМР 29_11_2014г.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Ноябрь 2014\ЦСС\Сводка СМР ПСП  29 11 14г гпн (2) (3).xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Октябрь 2014\Велесстрой\Сводка СМР НН Велесстрой 29 10 2014г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Октябрь 2014\ПСД\Сводка СМР ЦПС 30 10 14г .xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Октябрь 2014\РГИ\Сводка Кусты СМР 03_10_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Октябрь 2014\СГАТ\Сводка СМР НН 30 10 14г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Октябрь 2014\СЭМ\Сводка ГТЭС СМР 30_10_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Октябрь 2014\ЦСС\Сводка СМР ПСП  30 10 14г гпн (2).xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Сентябрь 2014\ПСД\Сводка ЦПС СМР 30_09_2014 ГПН 4.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Сентябрь 2014\РГИ\Сводка Кусты СМР 30_09_2014 (1).xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Сентябрь 2014\СГАТ\Сводка СМР НН 30 09 14г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Сентябрь 2014\СЭМ\Сводка ГТЭС СМР 30_09_2014.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2014\Сентябрь 2014\ЦСС\Сводка ПСП СМР 30_09_2014 (2).xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\Аргос Прометей\Сводка СМР обустройство АРГОС-Прометей  31 08 2015 г .xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\ГТЭС Велесстрой\СМР ГТЭС Велесстрой 31.08.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\ГТЭС СЭМ\Сводка СМР ГТЭС СЭМ 31.08.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\ПСД ЦПС\Сводка СМР по ЦПС за 31.08.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\ПСП Велесстрой\Сводка СМР ПСП Велесстрой 31.08.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\ПСП ЦСС\Сводка СМГ ПСП 31.08.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\СГАТ\Сводка СМР НН СГАТ 31.08.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\СНГ Альянс\Сводка СМР ОБП, ВЖК 31.08.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\УДС ПРП\Сводка УДС ПРП 31.08.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Август 2015\ЭСМТ\Сводка СМР Энергетика ЭСМТ 31.08.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\Аргос\Сводка СМР обустройство АРГОС 29.04.2015г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\Велесстрой\Сводка СМР НН Велесстрой 29.04.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\Велесстрой ГТЭС\Сводка СМР ГТЭС Велесстрой 29.04.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\Инженерка\Сводка по инженерной подготовке 2015г на 29.04.15.xls	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\МС-12\Сводка по 135 мосту  за 29.04.15г.xls	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\Промэкс\Сводка СМР обустройство Промэкс-Групп 05.04.2015г.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\ПСД\Сводка СМР ЦПС 29.04.2015.xlsm	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\СГАТ\Сводка СМР НН СГАТ 29.04.2015 (2).xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\СНГ Альянс\Сводный отчет СМР от 30.04.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\СЭМ\Сводка СМР ГТЭС СЭМ 29.04.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Апрель 2015\ЦСС\Сводка СМР ПСП 29.04.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Cводка СМР по ЦПС 30.12.2015.xlsx	1	['идентификатор guid ']
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка по инженерной подготовке  на 30.12.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка СМР ГТЭС ВС от 30.12.15.xlsx	1	['программное обеспечение    ( http://wwwbolidru/soft/object/object2html )  ']
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка СМР ГТЭС СЭМ от 30.12.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка СМР НН Велесстрой 30.12.15.xlsx	1	['идентификатор guid ']
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка СМР ОБП ВЖК 30.12.2015.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка СМР ПСП НВДС и  КЕДР на  30.12.15.xlsx	0	
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка СМР СГАТ 30.12.2015.xlsx	1	['идентификатор guid ']
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка_СМР_обустройство АРГОС-30 12 2015_Аргос.xlsx	3	['id', 'программное обеспечение (http://wwwbolidru/soft/object/object2html )', 'securos objectcontrol специализированный 1 канальный видеорегистратор объектового видеоконтроля суммарная скорость обработки видеопотока до 25кад/сек / jpeg mpeg-4 h264 / по управления камер ptz / по резервного копирования видеоданных /удаленная работа с системой через lan 2x1gbit ethernet wan internet /3000gb hdd sata raid серия в базовой комплектации / mini-itx /операционная система wicrosoft windows 81 pro / 220в 50гц']
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\Сводка_СМР_энергетика-ЭСМТ_30 12 2015.xlsx	1	['индефикаторguid']
СМГ Мессояха	СМГ Мессояха\\СМГ\Сводки 2015\Декабрь 2015\Сводки СМР за 30.12.2015\СМГ ПСП Велесстрой на 30.12.15.xlsx	1	['идентификатор guid ']
