,word,total_count,СМГ Зима,СМГ Мессояха,СМГ Н.Порт,Томский интегрированный проект
36,шт,6322,74,1486,726,4036
24,план,6945,71,1542,928,4404
114,факт,6971,71,1542,928,4430
122,УТВЕРЖДАЮ:,1790,63,1280,447,0
90,Заказчик:,2369,61,0,518,1790
76,Задание на месяц,5315,61,1506,630,3118
68,Идентификатор GUID ,1337,58,1185,94,0
51,"№ 
п/п",1894,58,1236,600,0
65,"Ед.
изм",1946,58,1240,648,0
110,"% выполнения 
от плана на текущую дату с начала строительства",1471,58,1312,101,0
79,Наименование работ,6479,58,1309,697,4415
38,"% выполнения 
от объема по проекту  на текущую дату с начала строительства",148,58,0,90,0
39,Выполнено с начала строительства (по договору),58,58,0,0,0
72,"Объемы
работ
по проекту",1879,58,1206,615,0
75,СОГЛАСОВАНО:,2022,58,1385,579,0
2,сроки выполнения работ по Договору:,488,58,0,430,0
53,Договор №,557,58,0,499,0
89,"Кол-во
дней",1795,57,1344,394,0
97,T емп. Воздуха,151,57,0,94,0
69,Ожидаемое окончание,226,57,0,169,0
109,Начало работ по договору,63,57,6,0,0
12,Ожидаемое начало,232,57,0,175,0
77,Окончание работ по договору,63,57,6,0,0
160,м,5065,56,1247,607,3155
93,1.3.,325,56,30,43,196
56,1.1.,267,55,53,80,79
13,1.2.,319,55,20,49,195
5,"ООО ""Газпромнефть-Хантос""",54,54,0,0,0
44,1.4.,410,53,30,39,288
117,Тел.,1533,47,1135,351,0
102,Ф.И.О,1533,47,1135,351,0
124,м3,6095,47,1383,675,3990
16,E-mail,1533,47,1135,351,0
104,Подрядная организация,107,46,7,54,0
164,"Выполнено 
с начала месяца",1928,43,1275,610,0
26,Ответственные за представленную информацию:,1499,43,1086,370,0
32,Заказчика,41,41,0,0,0
177,Директор по капитальному строительству,50,40,10,0,0
437,3.1,4121,39,162,553,3367
329,3.2,3848,39,131,524,3154
393,2.4,2913,39,101,468,2305
384,2.5,2398,39,92,404,1863
113,Февраль,1415,39,42,65,1269
135,к-с,723,39,182,192,310
344,2.6,2163,38,49,344,1732
58,Январь,1482,38,53,57,1334
106,м2,6044,38,1353,688,3965
320,2.2,4247,37,127,550,3533
424,2.3,3440,37,109,513,2781
287,2.1,4730,37,165,575,3953
175,по состоянию на:,1530,37,1464,29,0
112,га,2519,37,6,44,2432
59,От Заказчика:,413,37,9,367,0
439,2.7,2061,36,37,317,1671
40,Руководитель штаба,817,36,768,13,0
169,Подготовительные работы,2022,36,103,122,1761
95,Начальник ПООМ,989,36,940,13,0
366,3.6,1920,35,39,366,1480
429,3.3,3069,34,100,513,2422
496,4.1,3726,34,192,495,3005
168,к Договору № ____________,34,34,0,0,0
398,5.1,2937,34,159,463,2281
60,Март,1567,34,43,83,1407
188," от ""______"" _____________ 20___ г.",33,33,0,0,0
409,3.4,2435,33,86,459,1857
530,3.5,2066,33,82,404,1547
119,3.1.,113,32,10,71,0
317,5.2,2129,32,117,419,1561
9,Начальник УКС,1321,32,1180,109,0
494,4.2,3313,32,132,477,2672
307,3.7,1416,32,27,329,1028
181,Форма №4 Приложения 11,32,32,0,0,0
187,(разрабатывается и ведётся в MS Excel) ,38,31,0,7,0
186,Форма месячно-суточного графика и отчета по выполнению месячно-суточного графика,38,31,0,7,0
416,1.1,5269,30,394,649,4196
154,Проминка трассы,56,30,0,26,0
184,Рекультивация ,30,30,0,0,0
158,Прочее,565,30,168,15,352
173,Разбивка осей,30,30,0,0,0
140,Приемка объекта рабочей комиссией,30,30,0,0,0
440,5.3,1588,30,91,399,1068
299,1.4,3317,30,303,588,2396
180,Расчистка трассы (Рубка леса/ расчистка от мелколесья),30,30,0,0,0
311,1.3,3750,30,311,634,2775
178,2020 год,30,30,0,0,0
312,5.5,708,30,66,295,317
27,3.2.,83,30,6,47,0
374,5.4,1068,30,85,344,609
502,4.3,2963,30,107,470,2356
131,"ООО ""ЮНС""",30,30,0,0,0
395,1.2,5007,30,342,646,3989
421,7.2,1661,29,101,373,1158
2305,Сентябрь,1346,29,58,101,1158
324,7.1,2257,29,137,374,1717
727,%,5745,29,1284,431,4001
284,6.4,1237,29,74,290,844
314,5.6,528,28,18,245,237
391,6.2,2099,28,109,403,1559
297,7.3,1391,28,86,350,927
521,12.1,1653,28,72,267,1286
526,11.3,1015,28,65,268,654
508,11.1,1749,28,118,292,1311
525,12.2,1228,28,42,248,910
554,11.2,1340,28,91,292,929
550,4.6,1461,28,39,352,1042
454,8.1,2073,28,135,371,1539
505,4.5,2087,28,84,383,1592
537,4.4,2351,28,96,413,1814
414,6.1,2828,28,147,425,2228
527,12.3,963,28,25,223,687
747,13.1,1638,27,82,296,1233
128,2.1.,121,27,12,72,10
325,8.3,1229,27,73,323,806
790,17.1,1069,27,69,186,787
809,18.2,694,27,35,150,482
315,6.3,1826,27,90,333,1376
748,17.2,810,27,47,149,587
141,А.Р.Зубайдуллин,27,27,0,0,0
1033,12.5,647,27,13,199,408
722,14.2,1367,27,38,216,1086
1081,14.3,888,27,31,206,624
1022,13.2,1330,27,48,256,999
1379,Май,1109,27,98,34,950
893,21.2,691,27,34,108,522
558,18.1,1064,27,61,166,810
420,8.2,1706,27,91,357,1231
634,12.4,768,27,17,204,520
579,14.1,1580,27,73,238,1242
387,7.4,906,27,78,325,476
540,4.7,796,27,18,312,439
933,21.1,904,27,46,117,714
81,по состоянию на ,1880,27,1273,580,0
661,13.3,1033,27,36,242,728
426,2.8,1344,27,34,298,985
910,15.2,1088,26,47,200,815
917,21.4,488,26,20,91,351
185,Сомов Владимир Анатольевич,26,26,0,0,0
1021,15.1,1467,26,74,222,1145
182,Р.М.Сафин,26,26,0,0,0
1076,20.5,372,26,13,79,254
444,8.5,922,26,68,255,573
539,10.2,1328,26,92,302,908
775,12.6,441,26,6,186,223
176,89324312417,26,26,0,0,0
963,15.4,566,26,30,158,352
781,15.5,343,26,25,131,161
504,10.3,1173,26,72,275,800
441,8.4,980,26,70,256,628
412,1.6,2162,26,216,445,1475
891,21.3,544,26,26,95,397
725,20.2,712,26,40,129,517
858,20.4,499,26,17,91,365
1017,19.3,545,26,38,120,361
327,1.7,1669,26,197,409,1037
355,6.5,577,26,67,241,243
696,16.4,213,26,28,136,23
514,10.1,1817,26,135,322,1334
367,1.5,2639,26,286,522,1805
737,20.3,538,26,20,102,390
868,16.3,515,26,36,178,275
832,20.1,949,26,52,138,733
659,16.5,175,26,22,118,9
654,16.1,1287,26,68,236,957
1002,19.2,885,26,45,155,659
636,18.3,572,26,18,131,397
635,19.1,1031,26,62,165,778
1031,21.5,453,26,6,85,336
624,16.2,938,26,47,193,672
890,16.6,158,26,13,119,0
295,6.6,431,26,13,201,191
174,89224176555,26,26,0,0,0
795,17.3,648,26,28,143,451
170,somov.va@uns-mtpm.com,26,26,0,0,0
148,Бурматов Александр Анатольевич,26,26,0,0,0
166,Объемы,26,26,0,0,0
144,burmatov.aa@uns-mtpm.com,26,26,0,0,0
150,Сроки/ СМР,26,26,0,0,0
84,2.2.,101,26,9,56,10
535,10.4,974,25,68,239,642
912,21.7,205,25,2,76,102
841,16.7,151,25,14,112,0
553,10.5,864,25,60,212,567
399,7.5,710,25,63,280,342
557,10.6,394,25,11,180,178
959,17.4,522,25,19,130,348
559,21.6,337,25,4,81,227
689,17.6,246,25,10,101,110
728,17.5,337,25,17,115,180
887,12.7,415,25,6,161,223
683,15.3,902,25,32,167,678
291,7.6,567,25,15,242,285
165,Руководитель проектного центра Зима,25,25,0,0,0
510,8.7,363,24,14,199,126
518,8.6,453,24,16,217,196
894,22.2,649,24,29,110,486
511,11.4,837,24,60,229,524
1080,22.1,874,24,44,115,691
517,5.7,293,24,15,214,40
986,7.7,433,23,13,236,161
15,Руководитель проекта,724,23,211,490,0
2273,Август,1401,23,55,168,1155
708,22.3,520,23,23,103,371
551,10.7,366,23,10,155,178
137,ХНТ-19/11027/683/Р/35 от 12.09.2019г. Наряд-заказ №1 и Наряд-заказ №2,23,23,0,0,0
130,____________________________И.В.Антохин,23,23,0,0,0
1215,13.4,825,23,40,200,562
138,"ООО ""ЭСК Энергомост",23,23,0,0,0
662,19.4,365,23,35,107,200
2204,Июль,1304,23,88,76,1117
163,"ООО "" ЭСК Энергомост""",23,23,0,0,0
