,word,total_count,СМГ Зима,СМГ Мессояха,СМГ Н.Порт,Томский интегрированный проект
3,план,6998.0,77.0,1580.0,936.0,4405.0
71,факт,7043.0,77.0,1581.0,937.0,4448.0
11,едизм,6929.0,75.0,1514.0,924.0,4416.0
19,шт,6545.0,74.0,1564.0,838.0,4069.0
35,№п/п,6742.0,64.0,1488.0,797.0,4393.0
73,утверждаю:,1813.0,63.0,1300.0,450.0,0.0
49,заданиенамесяц,5320.0,61.0,1506.0,635.0,3118.0
20,заказчик:,2370.0,61.0,1.0,518.0,1790.0
38,идентификаторguid,1395.0,58.0,1185.0,152.0,0.0
55,согласовано:,2152.0,58.0,1477.0,617.0,0.0
32,объемыработпопроекту,1881.0,58.0,1206.0,617.0,0.0
85,наименованиеработ,6653.0,58.0,1462.0,697.0,4436.0
66,выполненосначаластроительства(подоговору),58.0,58.0,0.0,0.0,0.0
79,%выполненияотобъемапопроектунатекущуюдатусначаластроительства,216.0,58.0,0.0,158.0,0.0
70,договор№,557.0,58.0,0.0,499.0,0.0
6,"ооо""газпромнефть-хантос""",58.0,58.0,0.0,0.0,0.0
5,срокивыполненияработподоговору:,509.0,58.0,0.0,451.0,0.0
18,%выполненияотплананатекущуюдатусначаластроительства,1531.0,58.0,1312.0,161.0,0.0
28,кол-водней,1847.0,57.0,1365.0,425.0,0.0
15,ожидаемоеначало,232.0,57.0,0.0,175.0,0.0
60,tемпвоздуха,160.0,57.0,0.0,103.0,0.0
64,окончаниеработподоговору,63.0,57.0,6.0,0.0,0.0
8,ожидаемоеокончание,235.0,57.0,0.0,178.0,0.0
72,началоработподоговору,63.0,57.0,6.0,0.0,0.0
118,м,5374.0,56.0,1369.0,653.0,3296.0
42,тел,1533.0,47.0,1135.0,351.0,0.0
41,фио,1554.0,47.0,1155.0,351.0,1.0
27,e-mail,1533.0,47.0,1135.0,351.0,0.0
33,м3,6120.0,47.0,1408.0,675.0,3990.0
10,подряднаяорганизация,168.0,46.0,14.0,108.0,0.0
101,выполненосначаламесяца,2271.0,43.0,1486.0,742.0,0.0
37,ответственныезапредставленнуюинформацию:,1499.0,43.0,1086.0,370.0,0.0
81,январь,1568.0,42.0,78.0,114.0,1334.0
53,заказчика,41.0,41.0,0.0,0.0,0.0
40,га,2532.0,41.0,15.0,44.0,2432.0
84,февраль,1812.0,40.0,66.0,102.0,1604.0
93,директорпокапитальномустроительству,101.0,40.0,61.0,0.0,0.0
117,к-с,728.0,39.0,185.0,194.0,310.0
24,м2,6074.0,38.0,1383.0,688.0,3965.0
65,отзаказчика:,445.0,37.0,40.0,368.0,0.0
95,посостояниюна:,1530.0,37.0,1464.0,29.0,0.0
