,word,total_count,СМГ Зима,СМГ Мессояха,СМГ Н.Порт,Томский интегрированный проект
24,план,6945,71,1542,928,4404
114,факт,6971,71,1542,928,4430
1141,Факт,6772,8,1532,805,4427
605,ИТР,2592,9,552,803,1228
691,Итого,2146,4,1365,735,42
36,шт,6322,74,1486,726,4036
79,Наименование работ,6479,58,1309,697,4415
106,м2,6044,38,1353,688,3965
124,м3,6095,47,1383,675,3990
931,Ресурсы,1886,4,1209,666,7
416,1.1,5269,30,394,649,4196
65,"Ед.
изм",1946,58,1240,648,0
395,1.2,5007,30,342,646,3989
311,1.3,3750,30,311,634,2775
76,Задание на месяц,5315,61,1506,630,3118
72,"Объемы
работ
по проекту",1879,58,1206,615,0
164,"Выполнено 
с начала месяца",1928,43,1275,610,0
160,м,5065,56,1247,607,3155
51,"№ 
п/п",1894,58,1236,600,0
1464,№ п/п,6182,6,1392,598,4186
299,1.4,3317,30,303,588,2396
1086,План,6529,8,1530,587,4404
81,по состоянию на ,1880,27,1273,580,0
4045,Механизаторы,1824,3,43,579,1199
75,СОГЛАСОВАНО:,2022,58,1385,579,0
287,2.1,4730,37,165,575,3953
4084,1,3896,3,573,564,2756
1064,Электросварщики,1363,3,49,557,754
437,3.1,4121,39,162,553,3367
22,шт.,1943,21,455,552,915
320,2.2,4247,37,127,550,3533
32937,Идентификатор работы,1666,0,275,545,846
27691,% вып-я по кол-ву,762,0,218,544,0
101443,Кол-во по завершении,556,0,12,544,0
6282,Фактическое количество,570,0,26,544,0
304505,ПЛАНОВОЕ РАСПРЕДЕЛЕНИЕ,542,0,0,542,0
95226,Трудозатраты,547,0,5,542,0
329,3.2,3848,39,131,524,3154
367,1.5,2639,26,286,522,1805
90,Заказчик:,2369,61,0,518,1790
4777,Выполнено с начала строительства,5193,0,288,514,4391
424,2.3,3440,37,109,513,2781
429,3.3,3069,34,100,513,2422
2003,3,4433,6,568,513,3346
1190,Примечание,6434,13,1459,511,4451
2941,2,4630,7,575,505,3543
1578,Остаток,1541,17,226,499,799
53,Договор №,557,58,0,499,0
496,4.1,3726,34,192,495,3005
1144,Всего по РД,858,8,356,494,0
15,Руководитель проекта,724,23,211,490,0
494,4.2,3313,32,132,477,2672
304504,"Плановый процент, накоплен.",476,0,0,476,0
43086,Выполнено с начала строительства ,1635,0,1163,472,0
502,4.3,2963,30,107,470,2356
393,2.4,2913,39,101,468,2305
398,5.1,2937,34,159,463,2281
13518,Начало работ по контракту,1733,0,1270,463,0
409,3.4,2435,33,86,459,1857
719,людские ресурсы,482,3,25,454,0
122,УТВЕРЖДАЮ:,1790,63,1280,447,0
412,1.6,2162,26,216,445,1475
2812,4,3501,6,569,444,2482
676, ,5342,16,448,436,4442
2333,тн,2942,5,1322,436,1179
588,технические ресурсы,474,3,37,434,0
31704,Окончание работ по контракту,1704,0,1271,433,0
727,%,5745,29,1284,431,4001
4027,5,3278,2,527,430,2319
2,сроки выполнения работ по Договору:,488,58,0,430,0
414,6.1,2828,28,147,425,2228
317,5.2,2129,32,117,419,1561
537,4.4,2351,28,96,413,1814
1088,Всего,2680,3,1472,411,794
327,1.7,1669,26,197,409,1037
2775,Ед. изм.,6281,16,1468,405,4392
530,3.5,2066,33,82,404,1547
384,2.5,2398,39,92,404,1863
391,6.2,2099,28,109,403,1559
381,1.8,1593,21,186,401,985
440,5.3,1588,30,91,399,1068
89,"Кол-во
дней",1795,57,1344,394,0
2771,6,3266,6,516,389,2355
4729,7,5148,0,515,389,4244
505,4.5,2087,28,84,383,1592
418,1.9,1435,20,188,380,847
1099,Бульдозер,4371,2,1353,375,2641
324,7.1,2257,29,137,374,1717
421,7.2,1661,29,101,373,1158
1130,Наименование,2063,3,1518,371,171
454,8.1,2073,28,135,371,1539
26,Ответственные за представленную информацию:,1499,43,1086,370,0
59,От Заказчика:,413,37,9,367,0
366,3.6,1920,35,39,366,1480
2178,10,2792,1,462,364,1965
438,Субподрядная организация,376,12,0,364,0
4245,8,5098,0,489,360,4249
420,8.2,1706,27,91,357,1231
9537,План ,1851,0,1076,357,418
306,9.1,1943,10,134,355,1444
1143,Экскаватор,3853,3,1257,353,2240
550,4.6,1461,28,39,352,1042
16,E-mail,1533,47,1135,351,0
117,Тел.,1533,47,1135,351,0
102,Ф.И.О,1533,47,1135,351,0
297,7.3,1391,28,86,350,927
397,1.10,1391,17,177,350,847
5586,11,2648,0,441,345,1862
374,5.4,1068,30,85,344,609
344,2.6,2163,38,49,344,1732
8623,Выполнено за сутки,405,0,56,343,6
4156,9,5020,0,469,343,4208
354,9.2,1434,10,97,335,992
315,6.3,1826,27,90,333,1376
2695,Виды работ,3459,11,0,332,3116
307,3.7,1416,32,27,329,1028
387,7.4,906,27,78,325,476
325,8.3,1229,27,73,323,806
514,10.1,1817,26,135,322,1334
439,2.7,2061,36,37,317,1671
540,4.7,796,27,18,312,439
290,9.3,1218,10,81,306,821
539,10.2,1328,26,92,302,908
426,2.8,1344,27,34,298,985
2817,12,2456,4,389,297,1766
747,13.1,1638,27,82,296,1233
86,ЗГД по капитальному строительству,307,12,0,295,0
312,5.5,708,30,66,295,317
554,11.2,1340,28,91,292,929
508,11.1,1749,28,118,292,1311
284,6.4,1237,29,74,290,844
5779,13,2208,0,379,288,1541
427,3.8,1009,7,23,286,693
376,1.11,1323,21,170,285,847
57570,Начальник управления капитального строительства,287,0,6,281,0
1427,Технические ресурсы,1514,1,1231,281,1
399,7.5,710,25,63,280,342
504,10.3,1173,26,72,275,800
928,4.8,659,6,14,275,364
